Level ID, Passable Space, Impassable Space, Playble Space Size, Unreachable Space Count, Unreachable Space Size,Room Count, Average Room Size, Biggest Room Size, Smallest Room Size, Decisions Per Room,Corridor Count, Average Corridor Size, Biggest Corridor Size, Smallest Corridor Size
18225,3810,6190,2577,11,1233,20,181.05,957,19,0.95,10,18.9,42,8
18226,4193,5807,3938,5,255,17,217.1765,1719,11,1.470588,12,41.75,144,6
18227,3624,6376,2495,11,1129,20,163.5,1513,1,0.7,7,50.57143,162,13
18228,3752,6248,1348,13,2404,26,131.1154,565,7,0.8846154,11,31.18182,79,4
18229,3821,6179,1310,14,2511,24,144.625,1092,1,0.9583333,11,31.81818,66,12
18230,4039,5961,1941,7,2098,18,197.2222,1584,12,1.222222,11,44.45454,116,10
18231,3717,6283,2031,8,1686,22,151.1364,821,10,1.545455,17,23.05882,57,8
18232,4559,5441,3086,13,1473,20,220.1,1043,19,0.8,8,19.625,39,9
18233,4514,5486,2678,5,1836,17,232.0588,1733,6,1.294118,11,51.72727,114,12
18234,3503,6497,908,13,2595,26,115.3846,699,6,0.8846154,12,41.91667,118,5
18235,4051,5949,1931,9,2120,22,170.5,841,6,1.181818,11,27.27273,68,6
18236,4063,5937,3133,5,930,24,142.2083,630,6,1.583333,18,36.11111,122,4
18237,5023,4977,3786,3,1237,8,602.5,3500,27,1.75,7,29,63,13
18238,3243,6757,1352,16,1891,28,103.6786,636,6,0.75,10,34,98,12
18239,4728,5272,3624,8,1104,15,291.5333,3242,6,0.8,6,59.16667,125,8
18240,4214,5786,3971,5,243,14,278.6429,1206,17,1.5,10,31.3,55,15
18241,4760,5240,2537,4,2223,8,588.75,2453,6,0.75,3,16.66667,23,12
18242,3275,6725,865,17,2410,29,98.89655,633,7,0.7931035,11,37,72,4
18243,3528,6472,2628,12,900,25,119.64,1644,8,0.88,11,48.81818,108,8
18244,4328,5672,2641,7,1687,15,263.1333,1268,10,1.266667,9,42.33333,143,12
18245,4089,5911,2851,8,1238,26,137.7692,537,21,1.230769,16,31.6875,87,8
18246,4982,5018,4401,5,581,19,243.6842,1374,6,1.631579,16,22,53,4
18247,4249,5751,3915,10,334,23,166.3478,1123,6,1.173913,13,32.53846,68,9
18248,5284,4716,4904,3,380,15,320,3503,6,1.333333,9,53.77778,124,8
18249,3121,6879,954,13,2167,22,128.9545,574,8,0.8181818,9,31.55556,71,12
18250,4174,5826,3145,9,1029,21,179.619,1728,11,1.142857,12,33.5,70,10
18251,3653,6347,1139,12,2514,24,136.625,522,11,0.8333333,9,41.55556,97,11
18252,3412,6588,979,12,2433,22,142.2273,459,4,0.7727273,10,28.3,82,8
18253,4567,5433,4280,5,287,15,283.3333,2331,6,1.4,11,28.81818,114,6
18254,4620,5380,4409,5,211,16,260.5625,1426,6,1.3125,10,45.1,120,6
18255,3282,6718,1668,14,1614,22,136.3182,572,1,0.5909091,7,40.42857,112,8
18256,4690,5310,2921,8,1769,16,279.0625,1989,12,1.0625,8,28.125,73,14
18257,4065,5935,1532,11,2533,31,108.7742,574,13,1.096774,17,40.76471,134,4
